t (in s);x (in m);y (in m);theta (in rad);v (in m/s);omega (in rad/s);phi (in rad);phiPoint (in rad/s);deltag (in rad);deltavmax (in rad);V (in m/s);psi (in rad);Vc (in m/s);psic (in rad);hw (in m);fg;fv;gamma;deltav (in rad);deltavmaxsimu (in rad);roll (in rad);pitch (in rad);yaw (in rad);latitude (in decimal degrees);longitude (in decimal degrees);winddir (in rad);windspeed (in m/s);heading (in rad);
0.000191;0.000347;0.000892;1.199995;4.999696;-0.025004;0.099996;-0.025444;0.000000;0.000000;16.238206;1.449589;0.000000;-1.822242;0.000000;0.000000;-186.599768;1.924351;-0.300000;0.300000;5.729359;0.000000;-21.245339;48.376687;-4.492376;186.944688;16.238206;21.245339;
0.020685;0.037475;0.096389;1.199483;4.967605;-0.025627;0.099475;-0.666350;0.000000;0.000000;16.541490;1.508539;0.000000;-1.444937;0.000000;0.000000;-208.039328;1.908113;-0.300000;0.300000;5.699483;0.000000;-21.274698;48.376688;-4.492375;183.567060;16.541490;21.274698;
0.040871;0.073859;0.189833;1.198965;4.936604;-0.026272;0.086024;-1.281566;0.000000;0.000000;16.648843;1.526898;0.000000;-1.791023;-0.000000;0.000000;-215.022990;1.902213;-0.300000;0.300000;4.928785;0.000000;-21.304338;48.376689;-4.492375;182.515192;16.648843;21.304338;
0.061273;0.110451;0.283665;1.198429;4.906430;-0.027192;0.059878;-1.950138;0.000000;0.000000;16.965127;1.625607;0.000000;-1.307635;0.000000;0.000000;-247.962028;1.865697;-0.300000;0.300000;3.430736;0.000000;-21.335049;48.376690;-4.492375;176.859603;16.965127;21.335049;
0.081676;0.146872;0.376912;1.197875;4.875798;-0.027689;0.020088;-2.451793;0.000000;0.000000;15.658240;1.541959;0.000000;-1.614742;0.000000;0.000000;-206.696515;1.896908;-0.300000;0.300000;1.150966;0.000000;-21.366837;48.376690;-4.492374;181.652274;15.658240;21.366837;
0.102062;0.183087;0.469479;1.197310;4.844862;-0.027836;-0.029894;-2.800013;0.000000;0.000000;15.008291;1.442730;0.000000;-1.612259;-0.000000;0.000000;-171.131728;1.925509;-0.300000;0.300000;-1.712809;0.000000;-21.399178;48.376691;-4.492374;187.337651;15.008291;21.399178;
0.122456;0.219137;0.561472;1.196743;4.815122;-0.028300;-0.086997;-3.189310;0.000000;0.000000;16.662456;1.496802;0.000000;-1.427301;-0.000000;0.000000;-206.829526;1.910823;-0.300000;0.300000;-4.984549;0.000000;-21.431703;48.376692;-4.492373;184.239555;16.662456;21.431703;
0.142784;0.254903;0.652588;1.196167;4.785669;-0.028645;-0.151831;-3.483662;0.000000;0.000000;15.853881;1.494822;0.000000;-1.484902;0.000000;0.000000;-196.385885;1.911239;-0.300000;0.300000;-8.699259;0.000000;-21.464665;48.376693;-4.492373;184.352995;15.853881;21.464665;
0.163118;0.290512;0.743148;1.195585;4.757151;-0.029197;-0.222666;-3.776594;0.000000;0.000000;16.111776;1.569834;0.000000;-1.456398;0.000000;0.000000;-221.131504;1.886331;-0.300000;0.300000;-12.757814;0.000000;-21.498038;48.376694;-4.492372;180.055112;16.111776;21.498038;
0.183487;0.326023;0.833308;1.194990;4.728380;-0.029469;-0.299594;-3.920328;0.000000;0.000000;16.980008;1.439453;0.000000;-1.674935;0.000000;0.000000;-193.298643;1.925748;-0.300000;0.300000;-17.165462;0.000000;-21.532114;48.376694;-4.492372;187.525426;16.980008;21.532114;
